N_THREADS,n_obj,time,mean,dp,spUp,eff
0,30000,15.1499,15.4605,0.7432,1.0,1.0
2,30000,12.8606,12.8986,0.8886,1.1986,0.5993
4,30000,12.7149,12.6285,1.094,1.2243,0.3061
8,30000,13.6234,13.9786,1.022,1.106,0.1383
0,60000,30.5801,30.8949,1.577,1.0,1.0
2,60000,25.4217,26.1161,1.6926,1.183,0.5915
4,60000,24.1086,25.0156,2.0115,1.235,0.3088
8,60000,28.1717,27.787,2.1125,1.1118,0.139
0,120000,63.7736,62.0697,2.9239,1.0,1.0
2,120000,56.0902,52.3157,4.1973,1.1864,0.5932
4,120000,50.9001,50.8451,4.3269,1.2208,0.3052
8,120000,55.2872,55.8742,4.6289,1.1109,0.1389
0,240000,117.1003,123.6917,6.2655,1.0,1.0
2,240000,103.9569,105.0792,7.9249,1.1771,0.5886
4,240000,109.7907,102.1621,7.9233,1.2107,0.3027
8,240000,103.4566,111.7947,9.6915,1.1064,0.1383
